========================================
Auto-Start Baseline Training Script
========================================

Monitoring GPU: 1
Target steps: 1100000
Check interval: 30s

[2026-03-06 10:07:26] Starting monitoring...

[12:27:57] Step: 992360/1100000 (90.2%) | Process: Running
[12:28:29] Step: 992360/1100000 (90.2%) | Process: Running
[12:29:01] Step: 993130/1100000 (90.3%) | Process: Running
[12:29:33] Step: 993130/1100000 (90.3%) | Process: Running
[12:30:05] Step: 993130/1100000 (90.3%) | Process: Running
[12:30:37] Step: 993130/1100000 (90.3%) | Process: Running
[12:31:09] Step: 994080/1100000 (90.4%) | Process: Running
[12:31:41] Step: 994080/1100000 (90.4%) | Process: Running
[12:32:13] Step: 994080/1100000 (90.4%) | Process: Running
[12:32:45] Step: 994080/1100000 (90.4%) | Process: Running
[12:33:16] Step: 995030/1100000 (90.5%) | Process: Running
[12:33:48] Step: 995030/1100000 (90.5%) | Process: Running
[12:34:20] Step: 995030/1100000 (90.5%) | Process: Running
[12:34:52] Step: 995030/1100000 (90.5%) | Process: Running
[12:35:24] Step: 995990/1100000 (90.5%) | Process: Running
[12:35:56] Step: 995990/1100000 (90.5%) | Process: Running
[12:36:28] Step: 995990/1100000 (90.5%) | Process: Running
[12:37:00] Step: 996960/1100000 (90.6%) | Process: Running
[12:37:32] Step: 996960/1100000 (90.6%) | Process: Running
[12:38:04] Step: 996960/1100000 (90.6%) | Process: Running
[12:38:36] Step: 996960/1100000 (90.6%) | Process: Running
[12:39:08] Step: 997930/1100000 (90.7%) | Process: Running
[12:39:40] Step: 997930/1100000 (90.7%) | Process: Running
[12:40:11] Step: 997930/1100000 (90.7%) | Process: Running
[12:40:43] Step: 997930/1100000 (90.7%) | Process: Running
[12:41:15] Step: 998890/1100000 (90.8%) | Process: Running
[12:41:47] Step: 998890/1100000 (90.8%) | Process: Running
[12:42:19] Step: 998890/1100000 (90.8%) | Process: Running
[12:42:51] Step: 998890/1100000 (90.8%) | Process: Running
[12:43:29] Step: 998890/1100000 (90.8%) | Process: Running
[12:44:01] Step: 999810/1100000 (90.9%) | Process: Running
[12:44:33] Step: 999810/1100000 (90.9%) | Process: Running
[12:45:04] Step: 999810/1100000 (90.9%) | Process: Running
[12:45:36] Step: 1000790/1100000 (91.0%) | Process: Running
[12:46:08] Step: 1000790/1100000 (91.0%) | Process: Running
[12:46:40] Step: 1000790/1100000 (91.0%) | Process: Running
[12:47:12] Step: 1000790/1100000 (91.0%) | Process: Running
[12:47:44] Step: 1001750/1100000 (91.1%) | Process: Running
[12:48:16] Step: 1001750/1100000 (91.1%) | Process: Running
[12:48:48] Step: 1001750/1100000 (91.1%) | Process: Running
[12:49:20] Step: 1001750/1100000 (91.1%) | Process: Running
[12:49:52] Step: 1002710/1100000 (91.2%) | Process: Running
[12:50:23] Step: 1002710/1100000 (91.2%) | Process: Running
[12:50:55] Step: 1002710/1100000 (91.2%) | Process: Running
[12:51:27] Step: 1002710/1100000 (91.2%) | Process: Running
[12:51:59] Step: 1003670/1100000 (91.2%) | Process: Running
[12:52:31] Step: 1003670/1100000 (91.2%) | Process: Running
[12:53:03] Step: 1003670/1100000 (91.2%) | Process: Running
[12:53:35] Step: 1003670/1100000 (91.2%) | Process: Running
[12:54:07] Step: 1004640/1100000 (91.3%) | Process: Running
[12:54:39] Step: 1004640/1100000 (91.3%) | Process: Running
[12:55:11] Step: 1004640/1100000 (91.3%) | Process: Running
[12:55:43] Step: 1005580/1100000 (91.4%) | Process: Running
[12:56:14] Step: 1005580/1100000 (91.4%) | Process: Running
[12:56:46] Step: 1005580/1100000 (91.4%) | Process: Running
[12:57:18] Step: 1005580/1100000 (91.4%) | Process: Running
[12:57:50] Step: 1006550/1100000 (91.5%) | Process: Running
[12:58:22] Step: 1006550/1100000 (91.5%) | Process: Running
[12:58:54] Step: 1006550/1100000 (91.5%) | Process: Running
[12:59:26] Step: 1006550/1100000 (91.5%) | Process: Running
[12:59:58] Step: 1007310/1100000 (91.6%) | Process: Running
[13:00:30] Step: 1007310/1100000 (91.6%) | Process: Running
[13:01:02] Step: 1007310/1100000 (91.6%) | Process: Running
[13:01:34] Step: 1007310/1100000 (91.6%) | Process: Running
[13:02:05] Step: 1008280/1100000 (91.7%) | Process: Running
[13:02:37] Step: 1008280/1100000 (91.7%) | Process: Running
[13:03:09] Step: 1008280/1100000 (91.7%) | Process: Running
[13:03:41] Step: 1008280/1100000 (91.7%) | Process: Running
[13:04:13] Step: 1009230/1100000 (91.7%) | Process: Running
[13:04:45] Step: 1009230/1100000 (91.7%) | Process: Running
[13:05:17] Step: 1009230/1100000 (91.7%) | Process: Running
[13:05:49] Step: 1010190/1100000 (91.8%) | Process: Running
[13:06:21] Step: 1010190/1100000 (91.8%) | Process: Running
[13:06:53] Step: 1010190/1100000 (91.8%) | Process: Running
[13:07:25] Step: 1010190/1100000 (91.8%) | Process: Running
[13:07:57] Step: 1011150/1100000 (91.9%) | Process: Running
[13:08:29] Step: 1011150/1100000 (91.9%) | Process: Running
[13:09:00] Step: 1011150/1100000 (91.9%) | Process: Running
[13:09:32] Step: 1011150/1100000 (91.9%) | Process: Running
[13:10:04] Step: 1012100/1100000 (92.0%) | Process: Running
[13:10:36] Step: 1012100/1100000 (92.0%) | Process: Running
[13:11:08] Step: 1012100/1100000 (92.0%) | Process: Running
[13:11:40] Step: 1012100/1100000 (92.0%) | Process: Running
[13:12:12] Step: 1013070/1100000 (92.1%) | Process: Running
[13:12:44] Step: 1013070/1100000 (92.1%) | Process: Running
[13:13:21] Step: 1013070/1100000 (92.1%) | Process: Running
[13:13:53] Step: 1013760/1100000 (92.2%) | Process: Running
[13:14:24] Step: 1013760/1100000 (92.2%) | Process: Running
[13:14:56] Step: 1013760/1100000 (92.2%) | Process: Running
[13:15:28] Step: 1013760/1100000 (92.2%) | Process: Running
[13:16:00] Step: 1014710/1100000 (92.2%) | Process: Running
[13:16:32] Step: 1014710/1100000 (92.2%) | Process: Running
[13:17:04] Step: 1014710/1100000 (92.2%) | Process: Running
[13:17:36] Step: 1014710/1100000 (92.2%) | Process: Running
[13:18:08] Step: 1015660/1100000 (92.3%) | Process: Running
[13:18:40] Step: 1015660/1100000 (92.3%) | Process: Running
[13:19:12] Step: 1015660/1100000 (92.3%) | Process: Running
[13:19:43] Step: 1015660/1100000 (92.3%) | Process: Running
[13:20:15] Step: 1016620/1100000 (92.4%) | Process: Running
[13:20:47] Step: 1016620/1100000 (92.4%) | Process: Running
[13:21:19] Step: 1016620/1100000 (92.4%) | Process: Running
[13:21:51] Step: 1017590/1100000 (92.5%) | Process: Running
[13:22:23] Step: 1017590/1100000 (92.5%) | Process: Running
[13:22:55] Step: 1017590/1100000 (92.5%) | Process: Running
[13:23:27] Step: 1017590/1100000 (92.5%) | Process: Running
[13:23:59] Step: 1018550/1100000 (92.6%) | Process: Running
[13:24:31] Step: 1018550/1100000 (92.6%) | Process: Running
[13:25:02] Step: 1018550/1100000 (92.6%) | Process: Running
[13:25:34] Step: 1018550/1100000 (92.6%) | Process: Running
[13:26:06] Step: 1019520/1100000 (92.7%) | Process: Running
[13:26:38] Step: 1019520/1100000 (92.7%) | Process: Running
[13:27:10] Step: 1019520/1100000 (92.7%) | Process: Running
[13:27:42] Step: 1019520/1100000 (92.7%) | Process: Running
[13:28:14] Step: 1020480/1100000 (92.8%) | Process: Running
[13:28:50] Step: 1020480/1100000 (92.8%) | Process: Running
[13:29:22] Step: 1020480/1100000 (92.8%) | Process: Running
[13:29:54] Step: 1020950/1100000 (92.8%) | Process: Running
[13:30:26] Step: 1020950/1100000 (92.8%) | Process: Running
[13:30:58] Step: 1020950/1100000 (92.8%) | Process: Running
[13:31:30] Step: 1020950/1100000 (92.8%) | Process: Running
[13:32:02] Step: 1021900/1100000 (92.9%) | Process: Running
[13:32:33] Step: 1021900/1100000 (92.9%) | Process: Running
[13:33:05] Step: 1021900/1100000 (92.9%) | Process: Running
[13:33:37] Step: 1021900/1100000 (92.9%) | Process: Running
[13:34:09] Step: 1022860/1100000 (93.0%) | Process: Running
[13:34:41] Step: 1022860/1100000 (93.0%) | Process: Running
[13:35:13] Step: 1022860/1100000 (93.0%) | Process: Running
[13:35:45] Step: 1022860/1100000 (93.0%) | Process: Running
[13:36:17] Step: 1023820/1100000 (93.1%) | Process: Running
[13:36:49] Step: 1023820/1100000 (93.1%) | Process: Running
[13:37:21] Step: 1023820/1100000 (93.1%) | Process: Running
[13:37:57] Step: 1023820/1100000 (93.1%) | Process: Running
[13:38:29] Step: 1024770/1100000 (93.2%) | Process: Running
[13:39:01] Step: 1024770/1100000 (93.2%) | Process: Running
[13:39:33] Step: 1024770/1100000 (93.2%) | Process: Running
[13:40:05] Step: 1025720/1100000 (93.2%) | Process: Running
[13:40:37] Step: 1025720/1100000 (93.2%) | Process: Running
[13:41:09] Step: 1025720/1100000 (93.2%) | Process: Running
[13:41:41] Step: 1025720/1100000 (93.2%) | Process: Running
[13:42:13] Step: 1026670/1100000 (93.3%) | Process: Running
[13:42:45] Step: 1026670/1100000 (93.3%) | Process: Running
[13:43:19] Step: 1026670/1100000 (93.3%) | Process: Running
[13:43:51] Step: 1026670/1100000 (93.3%) | Process: Running
[13:44:23] Step: 1027460/1100000 (93.4%) | Process: Running
[13:44:54] Step: 1027460/1100000 (93.4%) | Process: Running
[13:45:26] Step: 1027460/1100000 (93.4%) | Process: Running
[13:45:58] Step: 1028410/1100000 (93.5%) | Process: Running
[13:46:30] Step: 1028410/1100000 (93.5%) | Process: Running
[13:47:03] Step: 1028410/1100000 (93.5%) | Process: Running
[13:47:35] Step: 1028410/1100000 (93.5%) | Process: Running
[13:48:07] Step: 1029370/1100000 (93.6%) | Process: Running
[13:48:38] Step: 1029370/1100000 (93.6%) | Process: Running
[13:49:10] Step: 1029370/1100000 (93.6%) | Process: Running
[13:49:42] Step: 1029370/1100000 (93.6%) | Process: Running
[13:50:14] Step: 1030330/1100000 (93.7%) | Process: Running
[13:50:46] Step: 1030330/1100000 (93.7%) | Process: Running
[13:51:18] Step: 1030330/1100000 (93.7%) | Process: Running
[13:51:50] Step: 1030330/1100000 (93.7%) | Process: Running
[13:52:22] Step: 1031290/1100000 (93.8%) | Process: Running
[13:52:54] Step: 1031290/1100000 (93.8%) | Process: Running
[13:53:26] Step: 1031290/1100000 (93.8%) | Process: Running
[13:53:58] Step: 1031290/1100000 (93.8%) | Process: Running
[13:54:30] Step: 1032250/1100000 (93.8%) | Process: Running
[13:55:01] Step: 1032250/1100000 (93.8%) | Process: Running
[13:55:33] Step: 1032250/1100000 (93.8%) | Process: Running
[13:56:07] Step: 1033210/1100000 (93.9%) | Process: Running
[13:56:39] Step: 1033210/1100000 (93.9%) | Process: Running
[13:57:11] Step: 1033210/1100000 (93.9%) | Process: Running
[13:57:42] Step: 1033210/1100000 (93.9%) | Process: Running
[13:58:19] Step: 1033210/1100000 (93.9%) | Process: Running
[13:58:51] Step: 1034160/1100000 (94.0%) | Process: Running
[13:59:23] Step: 1034160/1100000 (94.0%) | Process: Running
[13:59:55] Step: 1034160/1100000 (94.0%) | Process: Running
[14:00:27] Step: 1035120/1100000 (94.1%) | Process: Running
[14:00:58] Step: 1035120/1100000 (94.1%) | Process: Running
[14:01:30] Step: 1035120/1100000 (94.1%) | Process: Running
